SampleID,Run,Batch,SuperBatch,CNVControl
N2011061_1_S143,ISG1_10182023_074833,3,2,FALSE
N2011104_5_S144,ISG1_10182023_074833,3,2,FALSE
N2011151_9_S37,ISG1_10182023_074833,2,2,FALSE
N2012028_3_S15,ISG1_10182023_074833,2,2,FALSE
N2011607_1_S168,ISG1_10182023_074833,3,2,FALSE
N2011719_1_S72,ISG1_10182023_074833,2,2,FALSE
N2011632_3_S228,ISG1_10182023_074833,4,2,FALSE
NDS2_DC2_10k_S237,ISG1_10182023_074833,4,2,FALSE
N2011664_4_S201,ISG1_10182023_074833,4,2,FALSE
NKEAA00715_S180,ISG1_10182023_074833,3,2,FALSE
N1948982_7_S221,ISG1_10182023_074833,4,2,FALSE
N2011092_5_S9,ISG1_10182023_074833,2,2,FALSE
N2011011_6_S136,ISG1_10182023_074833,3,2,FALSE
N2011622_4_S110,ISG1_10182023_074833,3,2,FALSE
N2011529_6_S158,ISG1_10182023_074833,3,2,FALSE
N2011518_S167,ISG1_10182023_074833,3,2,FALSE
N2011640_8_S206,ISG1_10182023_074833,4,2,FALSE
N2011642_2_S74,ISG1_10182023_074833,2,2,FALSE
N2011661_3_S73,ISG1_10182023_074833,2,2,FALSE
N2011023_9_S35,ISG1_10182023_074833,2,2,FALSE
N2011084_S212,ISG1_10182023_074833,4,2,FALSE
N2011986_7_S54,ISG1_10182023_074833,2,2,FALSE
N2011720_7_S76,ISG1_10182023_074833,2,2,FALSE
N2011040_6_S14,ISG1_10182023_074833,2,2,FALSE
N3D710kc_S248,ISG1_10182023_074833,4,2,TRUE
N2011584_5_S205,ISG1_10182023_074833,4,2,FALSE
N2011328_5_S85,ISG1_10182023_074833,2,2,FALSE
N2011503_6_S64,ISG1_10182023_074833,2,2,FALSE
N2011908_9_S215,ISG1_10182023_074833,4,2,FALSE
N2011585_2_S229,ISG1_10182023_074833,4,2,FALSE
N2011981_2_S52,ISG1_10182023_074833,2,2,FALSE
N2011993_5_S138,ISG1_10182023_074833,3,2,FALSE
N2011625_5_S69,ISG1_10182023_074833,2,2,FALSE
N3D710kb_S152,ISG1_10182023_074833,3,2,TRUE
N2011395_7_S32,ISG1_10182023_074833,2,2,FALSE
N1875457_5_S195,ISG1_10182023_074833,4,2,FALSE
N2011423_7_S33,ISG1_10182023_074833,2,2,FALSE
N2011570_8_S98,ISG1_10182023_074833,3,2,FALSE
N2011559_3_S62,ISG1_10182023_074833,2,2,FALSE
N2011698_9_S78,ISG1_10182023_074833,2,2,FALSE
N2011623_1_S112,ISG1_10182023_074833,3,2,FALSE
